date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:18:54	7582/7582	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20May%202023%2012:43:08%20GMT	https://bslthemes.com/html/cvio/index.html	C:/Users/lmfay/IPNET/Mes%20Projets/TOURISME/Portofolio/bslthemes.com/html/cvio/index.html	(from )
03:18:55	124/124	---MCZ	200	added ('OK')	text/plain	date:Thu,%2018%20Apr%202024%2003:18:57%20GMT	https://bslthemes.com/robots.txt		(from )
03:18:55	170887/170887	---MCZ	200	added ('OK')	text/css	date:Sat,%2005%20Oct%202019%2003:47:38%20GMT	https://bslthemes.com/html/cvio/css/min-styles.css	C:/Users/lmfay/IPNET/Mes%20Projets/TOURISME/Portofolio/bslthemes.com/html/cvio/css/min-styles.css	(from https://bslthemes.com/html/cvio/index.html)
03:18:55	68502/68502	---MCZ	200	added ('OK')	text/css	date:Tue,%2001%20Oct%202019%2002:14:48%20GMT	https://bslthemes.com/html/cvio/css/fontawesome.css	C:/Users/lmfay/IPNET/Mes%20Projets/TOURISME/Portofolio/bslthemes.com/html/cvio/css/fontawesome.css	(from https://bslthemes.com/html/cvio/index.html)
03:18:55	714/714	---M--	200	added ('OK')	text/css	date:Tue,%2001%20Oct%202019%2002:14:47%20GMT	https://bslthemes.com/html/cvio/css/brands.css	C:/Users/lmfay/IPNET/Mes%20Projets/TOURISME/Portofolio/bslthemes.com/html/cvio/css/brands.css	(from https://bslthemes.com/html/cvio/index.html)
03:18:56	726/726	---M--	200	added ('OK')	text/css	date:Tue,%2001%20Oct%202019%2002:14:47%20GMT	https://bslthemes.com/html/cvio/css/solid.css	C:/Users/lmfay/IPNET/Mes%20Projets/TOURISME/Portofolio/bslthemes.com/html/cvio/css/solid.css	(from https://bslthemes.com/html/cvio/index.html)
03:18:56	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Tue,%2001%20Oct%202019%2002:15:07%20GMT	https://bslthemes.com/html/cvio/images/favicons/favicon.ico	C:/Users/lmfay/IPNET/Mes%20Projets/TOURISME/Portofolio/bslthemes.com/html/cvio/images/favicons/favicon.ico	(from https://bslthemes.com/html/cvio/index.html)
03:18:56	17050/17050	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20May%202023%2012:43:00%20GMT	https://bslthemes.com/html/cvio/index_creative.html	C:/Users/lmfay/IPNET/Mes%20Projets/TOURISME/Portofolio/bslthemes.com/html/cvio/index_creative.html	(from https://bslthemes.com/html/cvio/index.html)
03:18:56	8519/8519	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20May%202023%2012:42:13%20GMT	https://bslthemes.com/html/cvio/index_slider.html	C:/Users/lmfay/IPNET/Mes%20Projets/TOURISME/Portofolio/bslthemes.com/html/cvio/index_slider.html	(from https://bslthemes.com/html/cvio/index.html)
03:18:56	7630/7630	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20May%202023%2012:42:25%20GMT	https://bslthemes.com/html/cvio/index_personal.html	C:/Users/lmfay/IPNET/Mes%20Projets/TOURISME/Portofolio/bslthemes.com/html/cvio/index_personal.html	(from https://bslthemes.com/html/cvio/index.html)
